asset_id,priority,asset_type,display_name,ticker_or_person,category,main_subject,support_1,support_2,beginner_message,avoid_misunderstanding,composition,source_policy,output_filename,prompt_id,status
person_jensen_huang,A,person,Jensen Huang,Jensen Huang,AI・半導体経営,本人を識別できる胸上の落ち着いた肖像,控えめなAIチップの背景,データセンターの柔らかな光,AI半導体産業を象徴する経営者,革ジャンや表情を過度に誇張せず、発言や株価方向を示さない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_jensen_huang.png,prompt_person_jensen_huang,未生成
person_lisa_su,A,person,Lisa Su,Lisa Su,半導体経営,本人を識別できる胸上の知的な肖像,CPUとGPUの抽象背景,半導体回路の柔らかな光,CPU・GPU競争を象徴する経営者,別人化、若返り、過度な笑顔、特定発言の捏造を避ける,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_lisa_su.png,prompt_person_lisa_su,未生成
person_satya_nadella,A,person,Satya Nadella,Satya Nadella,クラウド・AI経営,穏やかで知的な胸上肖像,企業クラウドの抽象背景,AI業務支援の光,企業向けAIとクラウドを象徴する経営者,OpenAIの経営者として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_satya_nadella.png,prompt_person_satya_nadella,未生成
person_mark_zuckerberg,A,person,Mark Zuckerberg,Mark Zuckerberg,SNS・広告・AI経営,落ち着いた胸上肖像,SNSネットワークの抽象背景,AIデータセンターの光,広告とAI投資を象徴する経営者,VRゴーグルを必須にせず、奇抜な風刺にしない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_mark_zuckerberg.png,prompt_person_mark_zuckerberg,未生成
person_sundar_pichai,A,person,Sundar Pichai,Sundar Pichai,検索・広告・AI経営,穏やかな胸上肖像,検索とAIの抽象背景,クラウドの光,検索・広告・AI競争を象徴する経営者,読めない検索画面や特定発言を描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_sundar_pichai.png,prompt_person_sundar_pichai,未生成
person_tim_cook,A,person,Tim Cook,Tim Cook,端末・サービス経営,落ち着いた胸上肖像,スマート端末の抽象背景,サービス生態系の柔らかな光,Appleの端末とサービスを象徴する経営者,未発表製品やSteve Jobs風の誇張をしない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_tim_cook.png,prompt_person_tim_cook,未生成
person_andy_jassy,A,person,Andy Jassy,Andy Jassy,クラウド・EC経営,控えめで知的な胸上肖像,クラウドデータセンター,物流網の抽象背景,AWSとAmazonの事業運営を象徴する経営者,Jeff Bezosと混同しない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_andy_jassy.png,prompt_person_andy_jassy,未生成
person_elon_musk,A,person,Elon Musk,Elon Musk,EV・AI経営,本人を識別できる中立的な胸上肖像,電気自動車とAIの抽象背景,エネルギーの光,EVとAIの話題で登場する経営者,英雄化・悪役化・政治的な賛否を加えない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_elon_musk.png,prompt_person_elon_musk,未生成
person_larry_ellison,A,person,Larry Ellison,Larry Ellison,クラウド・企業IT経営,落ち着いた胸上肖像,企業データベースの抽象背景,クラウドサーバー,Oracleと企業ITを象徴する経営者,若者化や派手な富豪演出を避ける,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_larry_ellison.png,prompt_person_larry_ellison,未生成
person_alex_karp,A,person,Alex Karp,Alex Karp,AIソフト経営,本人を識別できる胸上肖像,複雑なデータが整理される背景,意思決定の光,データ分析AIを象徴する経営者,軍事的・監視的な恐怖演出を強めすぎない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_alex_karp.png,prompt_person_alex_karp,未生成
