assetId,priority,companyName,ticker,description,category,iconSlug,logoFile
company_nvda,A,NVIDIA,NVDA,AIの計算能力を支える中心企業,AI・GPU,nvidia,assets/nasdaq-cafe/logos/nvda.svg
company_msft,A,Microsoft,MSFT,企業の仕事とAIをクラウドでつなぐ会社,大型テック・クラウド・AI,microsoft,assets/nasdaq-cafe/logos/msft.svg
company_amzn,A,Amazon,AMZN,AWSと消費の二つの柱を持つ会社,大型テック・クラウド・消費,amazon,assets/nasdaq-cafe/logos/amzn.svg
company_meta,A,Meta Platforms,META,SNS広告とAI投資が収益を支える会社,大型テック・広告・AI,meta,assets/nasdaq-cafe/logos/meta.svg
company_googl,A,Alphabet,GOOGL,検索・広告・AIをつなぐ会社,大型テック・検索・広告・AI,google,assets/nasdaq-cafe/logos/googl.svg
company_aapl,A,Apple,AAPL,端末とサービスの生態系で稼ぐ会社,大型テック・端末・サービス,apple,assets/nasdaq-cafe/logos/aapl.svg
company_tsla,A,Tesla,TSLA,EV、電池、AIで事業を広げる会社,EV・エネルギー・AI,tesla,assets/nasdaq-cafe/logos/tsla.svg
company_amd,A,AMD,AMD,CPUとGPUを設計する半導体会社,半導体・CPU・GPU,amd,assets/nasdaq-cafe/logos/amd.svg
company_avgo,A,Broadcom,AVGO,AI通信と企業ソフトを支える会社,半導体・ネットワーク・ソフト,broadcom,assets/nasdaq-cafe/logos/avgo.svg
company_tsm,A,TSMC,TSM,他社が設計した最先端半導体を製造する会社,半導体製造,tsmc,assets/nasdaq-cafe/logos/tsm.svg
company_asml,A,ASML,ASML,最先端チップ製造に欠かせない露光装置会社,半導体装置・露光,asml,assets/nasdaq-cafe/logos/asml.svg
company_arm,A,Arm Holdings,ARM,チップの設計ルールを提供する会社,半導体設計・IP,arm,assets/nasdaq-cafe/logos/arm.svg
company_mu,A,Micron Technology,MU,AI計算に必要な高速メモリを供給する会社,メモリ・HBM,micron,assets/nasdaq-cafe/logos/mu.svg
company_intc,A,Intel,INTC,CPUと製造の再建を進める老舗半導体会社,CPU・半導体製造,intel,assets/nasdaq-cafe/logos/intc.svg
company_orcl,A,Oracle,ORCL,企業データとクラウドを支える会社,クラウド・データベース・AI,oracle,assets/nasdaq-cafe/logos/orcl.svg
company_pltr,A,Palantir,PLTR,複雑なデータを意思決定へ変えるAIソフト会社,AIソフト・データ分析,palantir,assets/nasdaq-cafe/logos/pltr.svg
